DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HR,2017,1542,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HR,2018,2404,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HR,2019,3341,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HR,2020,4526,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HR,2021,2916,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2013,283,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2014,176,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2015,270,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2016,282,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2017,808,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2018,1382,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2019,1962,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2020,3413,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,HU,2021,5040,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2013,640,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2014,1152,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2015,2212,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2016,3346,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2017,631,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2018,1252,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2019,3666,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2020,4075,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IE,2021,9515,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IS,2017,862,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IS,2018,790,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IS,2019,1149,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IS,2020,2586,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IS,2021,4254,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2013,184648,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2014,197582,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2015,185333,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2016,146790,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2017,163320,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2018,169133,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2019,185867,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2020,158378,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,IT,2021,208971,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2013,21,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2014,21,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2015,40,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2016,48,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2017,59,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2018,53,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2019,104,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2020,166,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LI,2021,295,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2013,534,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2014,759,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2015,1036,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2016,3080,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2017,3301,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2018,3497,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2019,3133,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2020,914,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LT,2021,1611,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LU,2020,2489,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LU,2021,4684,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2014,385,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2015,157,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2016,100,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2017,130,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2018,138,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2019,251,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2020,492,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,LV,2021,763,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,ME,2016,13,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,ME,2017,4,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,ME,2018,1,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,ME,2019,6,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2013,27,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2014,94,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2015,38,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2016,24,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2017,27,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2018,286,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2019,283,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2020,198,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,MT,2021,429,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2013,5248,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2014,7135,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2015,4256,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2016,5514,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2017,10432,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2018,25959,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2019,62518,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2020,74986,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NL,2021,66048,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2013,9021,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2014,18573,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2015,25942,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2016,24257,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2017,33120,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2018,46209,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2019,60320,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2020,82239,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,NO,2021,116436,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2013,69971,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2014,74292,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2015,92959,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2016,111753,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2017,116948,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2018,115305,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2019,170042,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2020,128505,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PL,2021,199150,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PT,2017,3723,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PT,2018,6383,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PT,2019,9173,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PT,2020,9822,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,PT,2021,17195,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2013,392,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2014,802,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2015,762,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2016,1068,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2017,1141,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2018,1832,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2019,2922,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2020,12122,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RO,2021,22296,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RS,2020,1599,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,RS,2021,3902,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2013,7610,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2014,9013,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2015,9434,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2016,7711,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2017,9477,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2018,11487,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2019,21958,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2020,31525,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SE,2021,60416,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2013,10,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2014,407,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2015,599,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2016,881,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2017,1838,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2018,2401,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2019,3274,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2020,4920,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,SI,2021,10440,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,TR,2013,14495,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,TR,2014,11404,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,TR,2015,13442,
ESTAT:ROAD_EQR_CARPDA(1.0),30/03/23 23:00:00,A,NR,ALT,TR,2016,13792,
